Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
22:16:00,28.600000,29.100000,68.199997,67.099998,28.562500,27.000000
22:16:31,28.600000,29.100000,66.800003,66.900002,28.500000,27.625000
22:17:02,28.600000,29.100000,68.099998,66.699997,28.500000,27.687500
22:17:33,28.500000,29.000000,68.099998,66.800003,28.500000,27.812500
22:18:03,28.500000,29.000000,68.500000,67.099998,28.500000,27.687500
22:18:34,28.500000,29.000000,88.599998,95.500000,28.500000,27.687500
22:19:05,28.500000,29.299999,80.400002,70.400002,28.500000,27.750000
22:19:36,28.900000,29.400000,99.900002,68.099998,28.500000,27.562500
22:20:06,29.700001,29.400000,94.699997,67.199997,28.500000,27.062500
22:21:08,30.900000,29.299999,73.900002,67.000000,28.500000,27.125000
22:21:39,31.000000,29.299999,65.300003,68.300003,28.500000,27.625000
22:22:09,31.000000,29.200001,64.800003,68.400002,28.500000,27.562500
22:22:40,30.900000,29.200001,70.599998,72.199997,28.500000,27.625000
22:23:11,30.700001,29.200001,66.199997,75.400002,28.437500,27.687500
22:24:12,30.299999,29.400000,66.300003,69.300003,28.437500,27.687500
