Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
22:25:24,29.799999,29.299999,67.599998,68.800003,28.312500,27.062500
22:25:55,29.799999,29.299999,66.400002,68.800003,26.250000,28.750000
22:26:56,29.600000,29.299999,68.400002,68.800003,22.812500,36.687500
22:27:27,29.400000,29.200001,68.699997,69.000000,21.750000,42.687500
22:27:58,29.400000,29.200001,69.000000,69.000000,21.125000,48.000000
22:28:28,29.299999,29.200001,69.199997,69.000000,21.062500,52.875000
22:28:59,29.200001,29.200001,69.400002,69.000000,24.250000,51.750000
22:30:00,29.400000,29.900000,69.300003,66.599998,26.312500,44.000000
22:31:02,29.900000,31.400000,67.199997,63.200001,25.062500,47.812500
22:31:33,30.100000,31.900000,66.500000,62.799999,25.312500,52.937500
22:32:03,30.299999,32.200001,65.800003,61.799999,27.000000,55.250000
22:32:34,30.400000,32.400002,65.300003,61.299999,28.687500,56.375000
22:33:05,30.500000,32.500000,65.099998,60.900002,28.437500,50.875000
22:34:37,31.100000,33.799999,63.299999,57.900002,26.687500,52.312500
22:35:38,31.500000,34.299999,62.000000,56.500000,29.812500,56.250000
22:36:09,31.600000,34.400002,61.599998,56.000000,30.500000,55.750000
22:36:40,31.600000,34.500000,61.299999,55.900002,28.687500,52.812500
22:37:11,31.700001,34.599998,60.799999,54.900002,28.125000,50.312500
22:37:41,32.000000,35.099998,60.099998,53.700001,28.500000,47.500000
22:38:12,32.299999,35.700001,59.099998,52.400002,28.125000,45.875000
22:38:43,32.700001,36.200001,58.000000,51.299999,27.062500,44.500000
22:39:14,33.099998,36.700001,57.000000,50.400002,26.562500,45.687500
22:40:15,33.900002,37.599998,55.299999,47.599998,27.312500,47.250000
22:40:46,34.299999,38.000000,54.500000,48.000000,27.812500,45.625000
22:41:17,34.700001,38.400002,53.599998,47.299999,27.000000,45.250000
22:42:18,35.299999,39.000000,52.000000,46.400002,26.187500,47.062500
22:42:49,35.599998,39.299999,51.299999,45.799999,27.000000,48.125000
22:43:19,36.000000,39.599998,50.700001,45.299999,27.812500,47.437500
22:43:50,36.299999,40.000000,50.099998,44.900002,27.187500,46.250000
22:44:21,36.599998,40.200001,49.500000,44.400002,26.500000,46.500000
22:44:52,36.900002,40.400002,49.000000,44.099998,26.187500,47.625000
22:45:22,37.099998,40.599998,48.500000,43.700001,26.812500,48.750000
22:45:53,37.400002,40.900002,48.000000,43.400002,27.750000,48.250000
22:46:24,37.700001,41.200001,47.500000,43.000000,27.875000,47.125000
22:46:55,37.900002,41.299999,47.200001,42.700001,27.000000,45.750000
22:47:25,38.200001,41.500000,46.799999,42.599998,26.500000,47.000000
22:47:56,38.400002,41.599998,46.500000,42.400002,26.375000,48.500000
22:48:27,38.599998,41.799999,46.200001,42.299999,27.250000,49.125000
22:48:58,38.799999,42.000000,45.799999,42.000000,27.875000,47.687500
22:49:28,39.000000,42.200001,45.500000,41.799999,27.812500,46.937500
22:49:59,39.200001,42.299999,45.200001,41.599998,26.937500,46.312500
22:50:30,39.299999,42.400002,44.900002,41.500000,26.375000,47.250000
22:51:00,39.500000,42.400002,44.700001,41.299999,26.250000,48.625000
22:51:31,39.700001,42.599998,44.400002,41.099998,27.250000,49.312500
22:52:02,39.799999,42.799999,44.200001,40.900002,28.750000,50.125000
22:53:03,39.900002,42.900002,44.400002,41.299999,31.250000,51.062500
22:53:34,39.900002,42.900002,44.299999,41.299999,32.187500,49.812500
22:54:05,39.900002,42.900002,44.299999,41.400002,33.000000,49.500000
22:54:36,39.799999,42.700001,44.299999,41.500000,33.750000,48.562500
22:55:06,39.700001,42.500000,43.099998,41.599998,34.375000,47.750000
22:55:37,39.599998,42.400002,43.200001,40.400002,34.875000,47.000000
22:56:08,39.500000,42.200001,44.599998,41.900002,35.312500,45.812500
22:56:39,39.400002,42.000000,44.799999,42.000000,35.687500,45.687500
22:57:09,39.200001,41.799999,44.900002,40.799999,36.062500,45.125000
22:57:40,39.099998,41.700001,45.000000,42.400002,36.312500,44.562500
22:58:11,39.000000,41.400002,45.200001,42.500000,36.500000,43.625000
